Above Median?,Date,Lower CI,Median,Number of Records,Upper CI,Year
below median,10/1/1922,-0.25,-0.32,1,-0.40,1922/10
below median,11/1/1922,-0.22,-0.29,1,-0.36,1922/11
below median,12/1/1922,-0.24,-0.30,1,-0.39,1922/12
below median,1/1/1923,-0.15,-0.23,1,-0.31,1923/01
below median,2/1/1923,-0.35,-0.41,1,-0.50,1923/02
below median,3/1/1923,-0.31,-0.41,1,-0.49,1923/03
below median,4/1/1923,-0.27,-0.36,1,-0.44,1923/04
below median,5/1/1923,-0.25,-0.32,1,-0.41,1923/05
below median,6/1/1923,-0.18,-0.24,1,-0.33,1923/06
below median,7/1/1923,-0.28,-0.35,1,-0.43,1923/07
below median,8/1/1923,-0.30,-0.38,1,-0.44,1923/08
below median,9/1/1923,-0.25,-0.32,1,-0.39,1923/09
below median,10/1/1923,-0.19,-0.26,1,-0.35,1923/10
below median,11/1/1923,0.04,-0.02,1,-0.09,1923/11
below median,12/1/1923,0.07,0.00,1,-0.09,1923/12
below median,1/1/1924,-0.24,-0.32,1,-0.39,1924/01
below median,2/1/1924,-0.14,-0.20,1,-0.28,1924/02
below median,3/1/1924,-0.17,-0.27,1,-0.35,1924/03
below median,4/1/1924,-0.19,-0.28,1,-0.35,1924/04
below median,5/1/1924,-0.17,-0.24,1,-0.33,1924/05
below median,6/1/1924,-0.15,-0.22,1,-0.30,1924/06
below median,7/1/1924,-0.19,-0.26,1,-0.35,1924/07
below median,8/1/1924,-0.20,-0.28,1,-0.34,1924/08
below median,9/1/1924,-0.20,-0.28,1,-0.35,1924/09
below median,10/1/1924,-0.24,-0.31,1,-0.40,1924/10
below median,11/1/1924,-0.29,-0.36,1,-0.44,1924/11
below median,12/1/1924,-0.47,-0.53,1,-0.61,1924/12
below median,1/1/1925,-0.32,-0.40,1,-0.48,1925/01
below median,2/1/1925,-0.23,-0.31,1,-0.39,1925/02
below median,3/1/1925,-0.12,-0.22,1,-0.31,1925/03
below median,4/1/1925,-0.19,-0.28,1,-0.35,1925/04
below median,5/1/1925,-0.19,-0.26,1,-0.35,1925/05
below median,6/1/1925,-0.19,-0.25,1,-0.35,1925/06
below median,7/1/1925,-0.15,-0.22,1,-0.30,1925/07
below median,8/1/1925,-0.04,-0.13,1,-0.19,1925/08
below median,9/1/1925,-0.11,-0.19,1,-0.27,1925/09
below median,10/1/1925,-0.22,-0.31,1,-0.39,1925/10
below median,11/1/1925,0.01,-0.06,1,-0.14,1925/11
above median,12/1/1925,0.08,0.01,1,-0.07,1925/12
above median,1/1/1926,0.16,0.09,1,0.01,1926/01
below median,2/1/1926,0.03,-0.04,1,-0.12,1926/02
below median,3/1/1926,0.08,-0.02,1,-0.11,1926/03
below median,4/1/1926,-0.08,-0.17,1,-0.24,1926/04
below median,5/1/1926,-0.14,-0.22,1,-0.30,1926/05
below median,6/1/1926,-0.02,-0.09,1,-0.18,1926/06
below median,7/1/1926,-0.16,-0.24,1,-0.32,1926/07
below median,8/1/1926,-0.01,-0.09,1,-0.15,1926/08
below median,9/1/1926,-0.03,-0.10,1,-0.17,1926/09
below median,10/1/1926,-0.01,-0.09,1,-0.17,1926/10
below median,11/1/1926,-0.04,-0.11,1,-0.19,1926/11
below median,12/1/1926,-0.18,-0.23,1,-0.32,1926/12
below median,1/1/1927,-0.18,-0.25,1,-0.33,1927/01
below median,2/1/1927,-0.08,-0.15,1,-0.22,1927/02
below median,3/1/1927,-0.23,-0.33,1,-0.42,1927/03
below median,4/1/1927,-0.19,-0.26,1,-0.33,1927/04
below median,5/1/1927,-0.19,-0.26,1,-0.34,1927/05
below median,6/1/1927,-0.17,-0.24,1,-0.32,1927/06
below median,7/1/1927,-0.07,-0.15,1,-0.23,1927/07
below median,8/1/1927,-0.07,-0.14,1,-0.20,1927/08
below median,9/1/1927,-0.06,-0.13,1,-0.20,1927/09
below median,10/1/1927,0.03,-0.04,1,-0.12,1927/10
below median,11/1/1927,-0.10,-0.17,1,-0.25,1927/11
below median,12/1/1927,-0.36,-0.43,1,-0.52,1927/12
below median,1/1/1928,0.02,-0.05,1,-0.13,1928/01
below median,2/1/1928,-0.06,-0.14,1,-0.22,1928/02
below median,3/1/1928,-0.25,-0.34,1,-0.43,1928/03
below median,4/1/1928,-0.17,-0.26,1,-0.33,1928/04
below median,5/1/1928,-0.22,-0.29,1,-0.37,1928/05
below median,6/1/1928,-0.28,-0.34,1,-0.43,1928/06
below median,7/1/1928,-0.09,-0.17,1,-0.25,1928/07
below median,8/1/1928,-0.09,-0.18,1,-0.23,1928/08
below median,9/1/1928,-0.15,-0.22,1,-0.30,1928/09
below median,10/1/1928,-0.09,-0.17,1,-0.24,1928/10
below median,11/1/1928,-0.09,-0.16,1,-0.23,1928/11
below median,12/1/1928,-0.16,-0.24,1,-0.33,1928/12
below median,1/1/1929,-0.40,-0.48,1,-0.56,1929/01
below median,2/1/1929,-0.60,-0.67,1,-0.75,1929/02
below median,3/1/1929,-0.30,-0.41,1,-0.50,1929/03
below median,4/1/1929,-0.31,-0.39,1,-0.47,1929/04
below median,5/1/1929,-0.32,-0.39,1,-0.47,1929/05
below median,6/1/1929,-0.28,-0.35,1,-0.44,1929/06
below median,7/1/1929,-0.29,-0.36,1,-0.45,1929/07
below median,8/1/1929,-0.11,-0.19,1,-0.26,1929/08
below median,9/1/1929,-0.19,-0.27,1,-0.34,1929/09
below median,10/1/1929,-0.10,-0.18,1,-0.26,1929/10
below median,11/1/1929,0.00,-0.07,1,-0.15,1929/11
below median,12/1/1929,-0.40,-0.47,1,-0.57,1929/12
below median,1/1/1930,-0.25,-0.33,1,-0.43,1930/01
below median,2/1/1930,-0.22,-0.29,1,-0.38,1930/02
below median,3/1/1930,-0.04,-0.16,1,-0.26,1930/03
below median,4/1/1930,-0.10,-0.19,1,-0.29,1930/04
below median,5/1/1930,-0.12,-0.20,1,-0.28,1930/05
below median,6/1/1930,-0.08,-0.16,1,-0.25,1930/06
below median,7/1/1930,-0.04,-0.12,1,-0.21,1930/07
below median,8/1/1930,0.05,-0.06,1,-0.14,1930/08
below median,9/1/1930,0.00,-0.08,1,-0.16,1930/09
below median,10/1/1930,0.00,-0.09,1,-0.17,1930/10
above median,11/1/1930,0.15,0.08,1,-0.01,1930/11
below median,12/1/1930,0.01,-0.07,1,-0.18,1930/12
below median,1/1/1931,0.08,0.00,1,-0.10,1931/01
below median,2/1/1931,-0.08,-0.15,1,-0.25,1931/02
below median,3/1/1931,-0.01,-0.12,1,-0.22,1931/03
below median,4/1/1931,-0.09,-0.18,1,-0.28,1931/04
below median,5/1/1931,-0.09,-0.17,1,-0.25,1931/05
below median,6/1/1931,0.05,-0.04,1,-0.13,1931/06
above median,7/1/1931,0.09,0.01,1,-0.08,1931/07
below median,8/1/1931,0.06,-0.05,1,-0.13,1931/08
below median,9/1/1931,0.03,-0.05,1,-0.12,1931/09
below median,10/1/1931,0.05,-0.04,1,-0.12,1931/10
below median,11/1/1931,-0.07,-0.15,1,-0.24,1931/11
below median,12/1/1931,-0.02,-0.10,1,-0.21,1931/12
above median,1/1/1932,0.24,0.16,1,0.06,1932/01
below median,2/1/1932,-0.12,-0.19,1,-0.29,1932/02
below median,3/1/1932,-0.13,-0.24,1,-0.34,1932/03
below median,4/1/1932,0.03,-0.07,1,-0.16,1932/04
below median,5/1/1932,-0.10,-0.17,1,-0.26,1932/05
below median,6/1/1932,-0.11,-0.19,1,-0.28,1932/06
below median,7/1/1932,-0.04,-0.13,1,-0.22,1932/07
below median,8/1/1932,-0.10,-0.20,1,-0.27,1932/08
below median,9/1/1932,0.04,-0.04,1,-0.12,1932/09
below median,10/1/1932,-0.08,-0.17,1,-0.25,1932/10
below median,11/1/1932,-0.16,-0.23,1,-0.32,1932/11
below median,12/1/1932,-0.11,-0.19,1,-0.30,1932/12
below median,1/1/1933,-0.21,-0.29,1,-0.38,1933/01
below median,2/1/1933,-0.25,-0.32,1,-0.41,1933/02
below median,3/1/1933,-0.24,-0.34,1,-0.43,1933/03
below median,4/1/1933,-0.13,-0.22,1,-0.31,1933/04
below median,5/1/1933,-0.14,-0.21,1,-0.30,1933/05
below median,6/1/1933,-0.18,-0.26,1,-0.34,1933/06
below median,7/1/1933,-0.10,-0.19,1,-0.27,1933/07
below median,8/1/1933,-0.08,-0.18,1,-0.25,1933/08
below median,9/1/1933,-0.16,-0.23,1,-0.31,1933/09
below median,10/1/1933,-0.11,-0.20,1,-0.27,1933/10
below median,11/1/1933,-0.24,-0.31,1,-0.39,1933/11
below median,12/1/1933,-0.45,-0.53,1,-0.63,1933/12
below median,1/1/1934,-0.15,-0.22,1,-0.31,1934/01
below median,2/1/1934,-0.09,-0.16,1,-0.25,1934/02
below median,3/1/1934,-0.29,-0.39,1,-0.48,1934/03
below median,4/1/1934,-0.16,-0.25,1,-0.34,1934/04
below median,5/1/1934,-0.01,-0.08,1,-0.17,1934/05
below median,6/1/1934,0.03,-0.04,1,-0.12,1934/06
below median,7/1/1934,0.02,-0.06,1,-0.15,1934/07
below median,8/1/1934,0.04,-0.06,1,-0.13,1934/08
below median,9/1/1934,-0.03,-0.09,1,-0.17,1934/09
below median,10/1/1934,0.00,-0.08,1,-0.16,1934/10
above median,11/1/1934,0.10,0.02,1,-0.06,1934/11
below median,12/1/1934,-0.06,-0.13,1,-0.23,1934/12
below median,1/1/1935,-0.15,-0.22,1,-0.31,1935/01
above median,2/1/1935,0.17,0.11,1,0.02,1935/02
below median,3/1/1935,-0.12,-0.22,1,-0.31,1935/03
below median,4/1/1935,-0.18,-0.27,1,-0.36,1935/04
below median,5/1/1935,-0.17,-0.24,1,-0.33,1935/05
below median,6/1/1935,-0.11,-0.19,1,-0.27,1935/06
below median,7/1/1935,-0.07,-0.14,1,-0.23,1935/07
below median,8/1/1935,-0.06,-0.15,1,-0.23,1935/08
below median,9/1/1935,-0.07,-0.14,1,-0.21,1935/09
below median,10/1/1935,0.01,-0.08,1,-0.15,1935/10
below median,11/1/1935,-0.22,-0.30,1,-0.38,1935/11
below median,12/1/1935,-0.20,-0.26,1,-0.36,1935/12
below median,1/1/1936,-0.23,-0.30,1,-0.39,1936/01
below median,2/1/1936,-0.29,-0.35,1,-0.43,1936/02
below median,3/1/1936,-0.19,-0.29,1,-0.38,1936/03
below median,4/1/1936,-0.12,-0.20,1,-0.29,1936/04
below median,5/1/1936,-0.08,-0.15,1,-0.23,1936/05
below median,6/1/1936,-0.09,-0.16,1,-0.24,1936/06
below median,7/1/1936,0.05,-0.02,1,-0.10,1936/07
below median,8/1/1936,0.05,-0.04,1,-0.12,1936/08
below median,9/1/1936,-0.04,-0.11,1,-0.17,1936/09
below median,10/1/1936,0.08,0.00,1,-0.08,1936/10
below median,11/1/1936,0.01,-0.07,1,-0.15,1936/11
below median,12/1/1936,0.06,-0.01,1,-0.11,1936/12
below median,1/1/1937,-0.05,-0.12,1,-0.22,1937/01
above median,2/1/1937,0.10,0.04,1,-0.04,1937/02
below median,3/1/1937,-0.17,-0.27,1,-0.36,1937/03
below median,4/1/1937,-0.05,-0.13,1,-0.21,1937/04
below median,5/1/1937,-0.01,-0.08,1,-0.16,1937/05
below median,6/1/1937,0.07,-0.01,1,-0.08,1937/06
above median,7/1/1937,0.13,0.05,1,-0.03,1937/07
above median,8/1/1937,0.17,0.08,1,0.01,1937/08
above median,9/1/1937,0.18,0.11,1,0.04,1937/09
above median,10/1/1937,0.20,0.12,1,0.06,1937/10
above median,11/1/1937,0.07,0.00,1,-0.08,1937/11
below median,12/1/1937,-0.04,-0.10,1,-0.20,1937/12
above median,1/1/1938,0.09,0.02,1,-0.07,1938/01
above median,2/1/1938,0.08,0.02,1,-0.06,1938/02
above median,3/1/1938,0.16,0.06,1,-0.02,1938/03
above median,4/1/1938,0.16,0.09,1,0.00,1938/04
below median,5/1/1938,-0.03,-0.09,1,-0.17,1938/05
below median,6/1/1938,0.00,-0.06,1,-0.13,1938/06
below median,7/1/1938,0.02,-0.05,1,-0.12,1938/07
above median,8/1/1938,0.10,0.01,1,-0.05,1938/08
above median,9/1/1938,0.13,0.06,1,0.00,1938/09
above median,10/1/1938,0.22,0.15,1,0.08,1938/10
above median,11/1/1938,0.08,0.02,1,-0.05,1938/11
below median,12/1/1938,-0.23,-0.29,1,-0.38,1938/12
below median,1/1/1939,0.00,-0.07,1,-0.15,1939/01
below median,2/1/1939,0.02,-0.04,1,-0.12,1939/02
below median,3/1/1939,-0.17,-0.26,1,-0.34,1939/03
below median,4/1/1939,-0.02,-0.10,1,-0.17,1939/04
below median,5/1/1939,0.03,-0.03,1,-0.10,1939/05
above median,6/1/1939,0.12,0.06,1,-0.01,1939/06
above median,7/1/1939,0.12,0.05,1,-0.02,1939/07
above median,8/1/1939,0.12,0.04,1,-0.02,1939/08
below median,9/1/1939,-0.02,-0.07,1,-0.12,1939/09
below median,10/1/1939,-0.21,-0.27,1,-0.33,1939/10
below median,11/1/1939,-0.06,-0.12,1,-0.18,1939/11
above median,12/1/1939,0.26,0.22,1,0.16,1939/12
below median,1/1/1940,-0.13,-0.19,1,-0.24,1940/01
below median,2/1/1940,0.02,-0.03,1,-0.09,1940/02
below median,3/1/1940,-0.04,-0.11,1,-0.16,1940/03
above median,4/1/1940,0.11,0.07,1,0.01,1940/04
above median,5/1/1940,0.07,0.03,1,-0.03,1940/05
above median,6/1/1940,0.09,0.04,1,-0.02,1940/06
above median,7/1/1940,0.20,0.14,1,0.09,1940/07
above median,8/1/1940,0.10,0.05,1,0.00,1940/08
above median,9/1/1940,0.18,0.12,1,0.09,1940/09
above median,10/1/1940,0.07,0.01,1,-0.04,1940/10
below median,11/1/1940,-0.01,-0.06,1,-0.12,1940/11
above median,12/1/1940,0.21,0.16,1,0.10,1940/12
below median,1/1/1941,-0.06,-0.10,1,-0.14,1941/01
below median,2/1/1941,0.03,-0.02,1,-0.07,1941/02
below median,3/1/1941,-0.10,-0.14,1,-0.18,1941/03
above median,4/1/1941,0.06,0.02,1,-0.02,1941/04
below median,5/1/1941,0.01,-0.02,1,-0.07,1941/05
above median,6/1/1941,0.16,0.12,1,0.07,1941/06
above median,7/1/1941,0.15,0.12,1,0.07,1941/07
above median,8/1/1941,0.05,0.02,1,-0.02,1941/08
below median,9/1/1941,-0.09,-0.13,1,-0.18,1941/09
above median,10/1/1941,0.26,0.22,1,0.17,1941/10
above median,11/1/1941,0.09,0.05,1,0.01,1941/11
above median,12/1/1941,0.13,0.10,1,0.05,1941/12
above median,1/1/1942,0.26,0.21,1,0.16,1942/01
below median,2/1/1942,-0.03,-0.08,1,-0.14,1942/02
below median,3/1/1942,-0.05,-0.09,1,-0.15,1942/03
below median,4/1/1942,-0.02,-0.06,1,-0.13,1942/04
below median,5/1/1942,0.03,-0.01,1,-0.07,1942/05
above median,6/1/1942,0.08,0.03,1,-0.02,1942/06
below median,7/1/1942,-0.03,-0.07,1,-0.13,1942/07
below median,8/1/1942,-0.02,-0.06,1,-0.13,1942/08
above median,9/1/1942,0.05,0.01,1,-0.05,1942/09
below median,10/1/1942,-0.03,-0.08,1,-0.13,1942/10
below median,11/1/1942,-0.03,-0.07,1,-0.12,1942/11
above median,12/1/1942,0.05,0.01,1,-0.06,1942/12
below median,1/1/1943,-0.15,-0.20,1,-0.25,1943/01
above median,2/1/1943,0.12,0.07,1,0.02,1943/02
below median,3/1/1943,-0.16,-0.20,1,-0.26,1943/03
above median,4/1/1943,0.05,0.01,1,-0.05,1943/04
below median,5/1/1943,0.03,-0.01,1,-0.07,1943/05
below median,6/1/1943,-0.05,-0.09,1,-0.15,1943/06
(at median),7/1/1943,0.04,0.00,1,-0.05,1943/07
below median,8/1/1943,0.04,0.00,1,-0.06,1943/08
below median,9/1/1943,0.03,-0.01,1,-0.07,1943/09
above median,10/1/1943,0.27,0.24,1,0.17,1943/10
above median,11/1/1943,0.07,0.03,1,-0.03,1943/11
above median,12/1/1943,0.24,0.20,1,0.13,1943/12
above median,1/1/1944,0.34,0.29,1,0.24,1944/01
above median,2/1/1944,0.20,0.14,1,0.09,1944/02
above median,3/1/1944,0.19,0.15,1,0.10,1944/03
above median,4/1/1944,0.10,0.06,1,0.01,1944/04
above median,5/1/1944,0.11,0.07,1,0.02,1944/05
above median,6/1/1944,0.20,0.15,1,0.09,1944/06
above median,7/1/1944,0.26,0.22,1,0.17,1944/07
above median,8/1/1944,0.28,0.24,1,0.17,1944/08
above median,9/1/1944,0.34,0.30,1,0.26,1944/09
above median,10/1/1944,0.25,0.21,1,0.16,1944/10
above median,11/1/1944,0.05,0.01,1,-0.04,1944/11
below median,12/1/1944,0.02,-0.02,1,-0.08,1944/12
below median,1/1/1945,0.04,0.00,1,-0.06,1945/01
below median,2/1/1945,-0.03,-0.09,1,-0.14,1945/02
below median,3/1/1945,0.01,-0.04,1,-0.09,1945/03
above median,4/1/1945,0.21,0.17,1,0.12,1945/04
below median,5/1/1945,-0.06,-0.10,1,-0.15,1945/05
above median,6/1/1945,0.05,0.01,1,-0.05,1945/06
below median,7/1/1945,-0.04,-0.08,1,-0.13,1945/07
above median,8/1/1945,0.41,0.36,1,0.30,1945/08
above median,9/1/1945,0.21,0.16,1,0.12,1945/09
above median,10/1/1945,0.22,0.19,1,0.14,1945/10
below median,11/1/1945,0.02,-0.01,1,-0.05,1945/11
below median,12/1/1945,-0.17,-0.21,1,-0.25,1945/12
above median,1/1/1946,0.13,0.10,1,0.07,1946/01
above median,2/1/1946,0.09,0.05,1,0.01,1946/02
below median,3/1/1946,-0.03,-0.06,1,-0.10,1946/03
above median,4/1/1946,0.18,0.14,1,0.09,1946/04
below median,5/1/1946,-0.08,-0.12,1,-0.17,1946/05
below median,6/1/1946,-0.22,-0.27,1,-0.31,1946/06
below median,7/1/1946,0.01,-0.05,1,-0.10,1946/07
below median,8/1/1946,-0.10,-0.15,1,-0.21,1946/08
below median,9/1/1946,0.04,-0.01,1,-0.06,1946/09
below median,10/1/1946,0.01,-0.05,1,-0.09,1946/10
below median,11/1/1946,-0.05,-0.09,1,-0.15,1946/11
below median,12/1/1946,-0.30,-0.36,1,-0.42,1946/12
below median,1/1/1947,-0.05,-0.12,1,-0.17,1947/01
below median,2/1/1947,-0.13,-0.18,1,-0.24,1947/02
below median,3/1/1947,0.00,-0.07,1,-0.13,1947/03
above median,4/1/1947,0.15,0.10,1,0.04,1947/04
below median,5/1/1947,-0.01,-0.06,1,-0.12,1947/05
above median,6/1/1947,0.06,0.01,1,-0.06,1947/06
below median,7/1/1947,0.07,-0.01,1,-0.07,1947/07
below median,8/1/1947,0.03,-0.04,1,-0.11,1947/08
below median,9/1/1947,-0.02,-0.08,1,-0.13,1947/09
above median,10/1/1947,0.15,0.08,1,0.02,1947/10
above median,11/1/1947,0.10,0.04,1,-0.04,1947/11
below median,12/1/1947,-0.11,-0.18,1,-0.25,1947/12
above median,1/1/1948,0.16,0.09,1,0.04,1948/01
below median,2/1/1948,-0.07,-0.13,1,-0.18,1948/02
below median,3/1/1948,-0.09,-0.18,1,-0.25,1948/03
below median,4/1/1948,0.01,-0.04,1,-0.10,1948/04
above median,5/1/1948,0.16,0.11,1,0.04,1948/05
above median,6/1/1948,0.14,0.08,1,0.01,1948/06
below median,7/1/1948,-0.03,-0.11,1,-0.17,1948/07
below median,8/1/1948,0.07,0.00,1,-0.07,1948/08
below median,9/1/1948,0.00,-0.06,1,-0.12,1948/09
above median,10/1/1948,0.11,0.03,1,-0.02,1948/10
below median,11/1/1948,0.01,-0.05,1,-0.12,1948/11
below median,12/1/1948,-0.14,-0.20,1,-0.27,1948/12
above median,1/1/1949,0.21,0.15,1,0.10,1949/01
below median,2/1/1949,-0.09,-0.15,1,-0.19,1949/02
below median,3/1/1949,-0.11,-0.18,1,-0.24,1949/03
above median,4/1/1949,0.06,0.01,1,-0.05,1949/04
below median,5/1/1949,0.00,-0.04,1,-0.10,1949/05
below median,6/1/1949,-0.14,-0.19,1,-0.24,1949/06
below median,7/1/1949,-0.03,-0.09,1,-0.14,1949/07
below median,8/1/1949,0.02,-0.04,1,-0.10,1949/08
below median,9/1/1949,-0.03,-0.07,1,-0.12,1949/09
below median,10/1/1949,0.02,-0.03,1,-0.08,1949/10
below median,11/1/1949,-0.03,-0.08,1,-0.13,1949/11
below median,12/1/1949,-0.14,-0.19,1,-0.24,1949/12
below median,1/1/1950,-0.28,-0.33,1,-0.37,1950/01
below median,2/1/1950,-0.19,-0.25,1,-0.29,1950/02
below median,3/1/1950,-0.12,-0.18,1,-0.24,1950/03
below median,4/1/1950,-0.11,-0.17,1,-0.21,1950/04
below median,5/1/1950,-0.04,-0.09,1,-0.14,1950/05
below median,6/1/1950,-0.02,-0.07,1,-0.12,1950/06
below median,7/1/1950,0.03,-0.04,1,-0.08,1950/07
below median,8/1/1950,-0.06,-0.11,1,-0.17,1950/08
below median,9/1/1950,-0.06,-0.11,1,-0.15,1950/09
below median,10/1/1950,-0.07,-0.13,1,-0.17,1950/10
below median,11/1/1950,-0.34,-0.39,1,-0.44,1950/11
below median,12/1/1950,-0.20,-0.25,1,-0.30,1950/12
below median,1/1/1951,-0.31,-0.36,1,-0.40,1951/01
below median,2/1/1951,-0.41,-0.46,1,-0.50,1951/02
below median,3/1/1951,-0.25,-0.30,1,-0.35,1951/03
below median,4/1/1951,-0.06,-0.11,1,-0.15,1951/04
below median,5/1/1951,0.03,-0.01,1,-0.06,1951/05
above median,6/1/1951,0.08,0.04,1,0.00,1951/06
above median,7/1/1951,0.11,0.05,1,0.01,1951/07
above median,8/1/1951,0.20,0.14,1,0.10,1951/08
above median,9/1/1951,0.14,0.09,1,0.06,1951/09
above median,10/1/1951,0.18,0.13,1,0.09,1951/10
below median,11/1/1951,0.00,-0.04,1,-0.09,1951/11
above median,12/1/1951,0.22,0.17,1,0.13,1951/12
above median,1/1/1952,0.23,0.18,1,0.15,1952/01
above median,2/1/1952,0.18,0.14,1,0.10,1952/02
below median,3/1/1952,-0.07,-0.13,1,-0.18,1952/03
above median,4/1/1952,0.11,0.06,1,0.01,1952/04
above median,5/1/1952,0.08,0.04,1,-0.01,1952/05
above median,6/1/1952,0.09,0.04,1,-0.01,1952/06
above median,7/1/1952,0.16,0.10,1,0.05,1952/07
above median,8/1/1952,0.14,0.09,1,0.05,1952/08
above median,9/1/1952,0.15,0.10,1,0.06,1952/09
below median,10/1/1952,0.05,-0.01,1,-0.05,1952/10
below median,11/1/1952,-0.15,-0.19,1,-0.24,1952/11
below median,12/1/1952,-0.01,-0.06,1,-0.10,1952/12
above median,1/1/1953,0.11,0.07,1,0.02,1953/01
above median,2/1/1953,0.19,0.15,1,0.10,1953/02
above median,3/1/1953,0.18,0.13,1,0.08,1953/03
above median,4/1/1953,0.24,0.20,1,0.15,1953/04
above median,5/1/1953,0.18,0.14,1,0.09,1953/05
above median,6/1/1953,0.21,0.16,1,0.12,1953/06
above median,7/1/1953,0.10,0.05,1,0.01,1953/07
above median,8/1/1953,0.14,0.10,1,0.05,1953/08
above median,9/1/1953,0.12,0.08,1,0.04,1953/09
above median,10/1/1953,0.13,0.07,1,0.03,1953/10
below median,11/1/1953,-0.03,-0.07,1,-0.12,1953/11
above median,12/1/1953,0.14,0.09,1,0.05,1953/12
below median,1/1/1954,-0.20,-0.24,1,-0.28,1954/01
below median,2/1/1954,-0.04,-0.09,1,-0.13,1954/02
below median,3/1/1954,-0.10,-0.16,1,-0.20,1954/03
below median,4/1/1954,-0.10,-0.15,1,-0.20,1954/04
below median,5/1/1954,-0.17,-0.21,1,-0.25,1954/05
below median,6/1/1954,-0.09,-0.13,1,-0.17,1954/06
below median,7/1/1954,-0.15,-0.20,1,-0.24,1954/07
below median,8/1/1954,-0.06,-0.09,1,-0.13,1954/08
below median,9/1/1954,-0.04,-0.09,1,-0.12,1954/09
below median,10/1/1954,0.02,-0.04,1,-0.08,1954/10
above median,11/1/1954,0.06,0.02,1,-0.02,1954/11
below median,12/1/1954,-0.19,-0.24,1,-0.28,1954/12
above median,1/1/1955,0.17,0.13,1,0.08,1955/01
below median,2/1/1955,-0.12,-0.17,1,-0.20,1955/02
below median,3/1/1955,-0.36,-0.41,1,-0.45,1955/03
below median,4/1/1955,-0.20,-0.24,1,-0.29,1955/04
below median,5/1/1955,-0.20,-0.24,1,-0.28,1955/05
below median,6/1/1955,-0.13,-0.17,1,-0.20,1955/06
below median,7/1/1955,-0.16,-0.20,1,-0.24,1955/07
below median,8/1/1955,-0.02,-0.06,1,-0.10,1955/08
below median,9/1/1955,-0.08,-0.12,1,-0.15,1955/09
below median,10/1/1955,-0.12,-0.16,1,-0.21,1955/10
below median,11/1/1955,-0.28,-0.31,1,-0.36,1955/11
below median,12/1/1955,-0.30,-0.34,1,-0.38,1955/12
below median,1/1/1956,-0.21,-0.25,1,-0.28,1956/01
below median,2/1/1956,-0.30,-0.35,1,-0.38,1956/02
below median,3/1/1956,-0.27,-0.31,1,-0.35,1956/03
below median,4/1/1956,-0.30,-0.34,1,-0.38,1956/04
below median,5/1/1956,-0.24,-0.28,1,-0.32,1956/05
below median,6/1/1956,-0.19,-0.23,1,-0.26,1956/06
below median,7/1/1956,-0.17,-0.21,1,-0.25,1956/07
below median,8/1/1956,-0.20,-0.24,1,-0.28,1956/08
below median,9/1/1956,-0.25,-0.28,1,-0.32,1956/09
below median,10/1/1956,-0.19,-0.23,1,-0.27,1956/10
below median,11/1/1956,-0.23,-0.26,1,-0.29,1956/11
below median,12/1/1956,-0.17,-0.21,1,-0.24,1956/12
below median,1/1/1957,-0.13,-0.17,1,-0.20,1957/01
below median,2/1/1957,-0.09,-0.13,1,-0.16,1957/02
below median,3/1/1957,-0.14,-0.19,1,-0.22,1957/03
below median,4/1/1957,-0.03,-0.06,1,-0.10,1957/04
above median,5/1/1957,0.09,0.05,1,0.01,1957/05
above median,6/1/1957,0.12,0.08,1,0.05,1957/06
above median,7/1/1957,0.04,0.00,1,-0.03,1957/07
above median,8/1/1957,0.14,0.09,1,0.07,1957/08
above median,9/1/1957,0.08,0.04,1,0.01,1957/09
below median,10/1/1957,0.03,-0.01,1,-0.05,1957/10
above median,11/1/1957,0.10,0.06,1,0.02,1957/11
above median,12/1/1957,0.20,0.16,1,0.12,1957/12
above median,1/1/1958,0.31,0.27,1,0.24,1958/01
above median,2/1/1958,0.22,0.18,1,0.16,1958/02
below median,3/1/1958,0.04,0.00,1,-0.04,1958/03
above median,4/1/1958,0.07,0.04,1,0.00,1958/04
above median,5/1/1958,0.08,0.04,1,0.00,1958/05
below median,6/1/1958,0.02,-0.02,1,-0.05,1958/06
above median,7/1/1958,0.08,0.04,1,0.01,1958/07
above median,8/1/1958,0.04,0.01,1,-0.02,1958/08
below median,9/1/1958,-0.01,-0.05,1,-0.08,1958/09
above median,10/1/1958,0.06,0.02,1,-0.02,1958/10
above median,11/1/1958,0.05,0.01,1,-0.02,1958/11
above median,12/1/1958,0.07,0.03,1,-0.01,1958/12
above median,1/1/1959,0.12,0.09,1,0.06,1959/01
above median,2/1/1959,0.06,0.03,1,0.00,1959/02
above median,3/1/1959,0.11,0.08,1,0.05,1959/03
above median,4/1/1959,0.07,0.05,1,0.01,1959/04
below median,5/1/1959,0.02,-0.01,1,-0.04,1959/05
above median,6/1/1959,0.09,0.06,1,0.03,1959/06
above median,7/1/1959,0.07,0.03,1,0.00,1959/07
above median,8/1/1959,0.08,0.05,1,0.02,1959/08
above median,9/1/1959,0.07,0.04,1,0.01,1959/09
below median,10/1/1959,0.00,-0.04,1,-0.06,1959/10
below median,11/1/1959,-0.08,-0.11,1,-0.14,1959/11
below median,12/1/1959,-0.03,-0.07,1,-0.10,1959/12
below median,1/1/1960,0.01,-0.03,1,-0.06,1960/01
above median,2/1/1960,0.13,0.10,1,0.08,1960/02
