"","Education","MaritalStatus","HHIncome2"
"3666","High School","Widowed","20000-24999"
"3667","Some College","Divorced","45000-54999"
"3668","9 - 11th Grade","NeverMarried","more 99999"
"3669","9 - 11th Grade","NeverMarried","more 99999"
"3670","9 - 11th Grade","NeverMarried","more 99999"
"3671","9 - 11th Grade","NeverMarried","more 99999"
"3672","9 - 11th Grade","NeverMarried","more 99999"
"3673","9 - 11th Grade","NeverMarried","more 99999"
"3674","Some College","LivePartner","25000-34999"
"3675","9 - 11th Grade","Married","25000-34999"
"3676","Some College","Separated","<20000"
"3677","College Grad","Married","more 99999"
"3678","College Grad","Married","more 99999"
"3679","College Grad","Married","35000-44999"
"3680","College Grad","Widowed","<20000"
"3681","College Grad","Married","more 99999"
"3682","College Grad","Married","more 99999"
"3683","8th Grade","Married","35000-44999"
"3684","Some College","LivePartner","35000-44999"
"3685","Some College","LivePartner","35000-44999"
"3686","High School","Married","75000-99999"
"3687","High School","Married","75000-99999"
"3688","Some College","Divorced","more 99999"
"3689","8th Grade","Married","<20000"
"3690","College Grad","NeverMarried","more 99999"
"3691","Some College","Divorced","35000-44999"
"3692","Some College","Divorced","35000-44999"
"3693","9 - 11th Grade","Married","35000-44999"
"3694","9 - 11th Grade","Married","35000-44999"
"3695","College Grad","NeverMarried","55000-64999"
"3696","College Grad","NeverMarried","55000-64999"
"3697","High School","LivePartner","20000-24999"
"3698","College Grad","NeverMarried","<20000"
"3699","College Grad","NeverMarried","<20000"
"3700","High School","Divorced","<20000"
"3701","8th Grade","Married","25000-34999"
"3702","College Grad","LivePartner","more 99999"
"3703","College Grad","LivePartner","more 99999"
"3704","9 - 11th Grade","Widowed","25000-34999"
"3705","9 - 11th Grade","Widowed","25000-34999"
"3706","High School","Widowed","<20000"
"3707","High School","Widowed","<20000"
"3708","Some College","NeverMarried","35000-44999"
"3709","Some College","NeverMarried","35000-44999"
"3710","Some College","Married","more 99999"
"3711","Some College","Married","more 99999"
"3712","Some College","Married","35000-44999"
"3713","Some College","Married","35000-44999"
"3714","High School","Widowed","<20000"
"3715","College Grad","Married","25000-34999"
"3716","College Grad","Married","more 99999"
"3717","College Grad","Married","75000-99999"
"3718","College Grad","Married","75000-99999"
"3719","College Grad","Married","75000-99999"
"3720","College Grad","Married","75000-99999"
"3721","College Grad","Married","75000-99999"
"3722","College Grad","Married","75000-99999"
"3723","College Grad","Married","75000-99999"
"3724","Some College","NeverMarried","20000-24999"
"3725","Some College","NeverMarried","20000-24999"
"3726","Some College","NeverMarried","20000-24999"
"3727","High School","Divorced","more 99999"
"3728","College Grad","NeverMarried","<20000"
"3729","9 - 11th Grade","NeverMarried","<20000"
"3730","High School","Married","35000-44999"
"3731","High School","Married","35000-44999"
"3732","College Grad","Married","35000-44999"
"3733","Some College","Divorced","75000-99999"
"3734","College Grad","Married","75000-99999"
"3735","College Grad","Married","more 99999"
"3736","Some College","Married","75000-99999"
"3737","High School","Married","more 99999"
"3738","Some College","Married","20000-24999"
"3739","College Grad","Widowed","25000-34999"
"3740","8th Grade","Widowed","<20000"
"3741","9 - 11th Grade","Separated","35000-44999"
"3742","Some College","Married","25000-34999"
"3743","Some College","Divorced","35000-44999"
"3744","Some College","Divorced","35000-44999"
"3745","Some College","Divorced","35000-44999"
"3746","Some College","Divorced","35000-44999"
"3747","Some College","Divorced","35000-44999"
"3748","Some College","Divorced","35000-44999"
"3749","Some College","Married","35000-44999"
"3750","8th Grade","Widowed","<20000"
"3751","8th Grade","Widowed","<20000"
"3752","High School","Divorced","45000-54999"
"3753","High School","Divorced","45000-54999"
"3754","High School","Divorced","45000-54999"
"3755","Some College","Widowed","<20000"
"3756","College Grad","Separated","more 99999"
"3757","College Grad","Separated","more 99999"
"3758","College Grad","Separated","more 99999"
"3759","High School","LivePartner","55000-64999"
"3760","High School","LivePartner","55000-64999"
"3761","9 - 11th Grade","NeverMarried","35000-44999"
"3762","Some College","Married","75000-99999"
"3763","9 - 11th Grade","Divorced","<20000"
"3764","9 - 11th Grade","Widowed","more 99999"
"3765","College Grad","NeverMarried","25000-34999"
"3766","College Grad","NeverMarried","25000-34999"
"3767","College Grad","NeverMarried","25000-34999"
"3768","College Grad","NeverMarried","25000-34999"
"3769","College Grad","NeverMarried","25000-34999"
"3770","Some College","NeverMarried","<20000"
"3771","9 - 11th Grade","Married","25000-34999"
"3772","9 - 11th Grade","Married","25000-34999"
"3773","High School","Married","<20000"
"3774","Some College","Married","more 99999"
"3775","Some College","Married","more 99999"
"3776","Some College","Married","more 99999"
"3777","Some College","Married","more 99999"
"3778","Some College","Married","more 99999"
"3779","Some College","LivePartner","25000-34999"
"3780","Some College","LivePartner","25000-34999"
"3781","Some College","LivePartner","25000-34999"
"3782","Some College","LivePartner","25000-34999"
"3783","9 - 11th Grade","Married","35000-44999"
"3784","Some College","NeverMarried","more 99999"
"3785","Some College","NeverMarried","more 99999"
"3786","High School","Divorced","<20000"
"3787","High School","Married","<20000"
"3788","College Grad","Divorced","20000-24999"
"3789","College Grad","Married","65000-74999"
"3790","College Grad","Married","65000-74999"
"3791","College Grad","Married","more 99999"
"3792","College Grad","Married","more 99999"
"3793","College Grad","Married","more 99999"
"3794","High School","Divorced","25000-34999"
"3795","8th Grade","Married","65000-74999"
"3796","Some College","NeverMarried","<20000"
"3797","Some College","NeverMarried","<20000"
"3798","Some College","Married","more 99999"
"3799","Some College","Married","more 99999"
"3800","Some College","Married","more 99999"
"3801","High School","Widowed","<20000"
"3802","Some College","Married","75000-99999"
"3803","College Grad","NeverMarried","75000-99999"
"3804","High School","Married","<20000"
"3805","High School","Married","<20000"
"3806","High School","Married","<20000"
"3807","High School","Married","45000-54999"
"3808","9 - 11th Grade","Divorced","<20000"
"3809","College Grad","Married","more 99999"
"3810","College Grad","Married","more 99999"
"3811","High School","Married","more 99999"
"3812","High School","Married","more 99999"
"3813","High School","Married","more 99999"
"3814","High School","Married","more 99999"
"3815","Some College","Married","45000-54999"
"3816","High School","Married","35000-44999"
"3817","High School","Married","35000-44999"
"3818","College Grad","NeverMarried","more 99999"
"3819","College Grad","LivePartner","more 99999"
"3820","Some College","Married","<20000"
"3821","Some College","Married","<20000"
"3822","High School","NeverMarried","<20000"
"3823","Some College","Married","25000-34999"
"3824","Some College","Married","25000-34999"
"3825","Some College","NeverMarried","more 99999"
"3826","9 - 11th Grade","Married","35000-44999"
"3827","Some College","NeverMarried","75000-99999"
"3828","9 - 11th Grade","Married","20000-24999"
"3829","9 - 11th Grade","Married","25000-34999"
"3830","Some College","Married","55000-64999"
"3831","College Grad","NeverMarried","75000-99999"
"3832","College Grad","NeverMarried","75000-99999"
"3833","College Grad","Married","more 99999"
"3834","College Grad","Married","more 99999"
"3835","College Grad","Married","75000-99999"
"3836","College Grad","Married","75000-99999"
"3837","College Grad","Married","75000-99999"
"3838","Some College","Married","45000-54999"
"3839","College Grad","Married","more 99999"
"3840","College Grad","Married","more 99999"
"3841","College Grad","Married","more 99999"
"3842","College Grad","Married","35000-44999"
"3843","College Grad","Married","65000-74999"
"3844","College Grad","Married","65000-74999"
"3845","College Grad","Married","65000-74999"
"3846","High School","LivePartner","<20000"
"3847","8th Grade","Married","<20000"
"3848","College Grad","Married","75000-99999"
"3849","High School","Widowed","75000-99999"
"3850","College Grad","Divorced","55000-64999"
"3851","High School","NeverMarried","75000-99999"
"3852","High School","NeverMarried","75000-99999"
"3853","College Grad","Married","45000-54999"
"3854","9 - 11th Grade","Married","25000-34999"
"3855","9 - 11th Grade","NeverMarried","<20000"
"3856","Some College","Divorced","35000-44999"
"3857","Some College","Divorced","35000-44999"
"3858","High School","Married","more 99999"
"3859","High School","Married","more 99999"
"3860","9 - 11th Grade","LivePartner","20000-24999"
"3861","8th Grade","NeverMarried","<20000"
"3862","8th Grade","NeverMarried","<20000"
"3863","8th Grade","NeverMarried","<20000"
"3864","High School","Separated","75000-99999"
"3865","College Grad","Married","more 99999"
"3866","College Grad","Married","more 99999"
"3867","College Grad","Married","more 99999"
"3868","Some College","LivePartner","more 99999"
"3869","College Grad","LivePartner","more 99999"
"3870","College Grad","LivePartner","more 99999"
"3871","Some College","Married","more 99999"
"3872","Some College","Married","more 99999"
"3873","Some College","Married","more 99999"
"3874","Some College","Married","more 99999"
"3875","High School","NeverMarried","20000-24999"
"3876","High School","NeverMarried","45000-54999"
"3877","High School","NeverMarried","45000-54999"
"3878","High School","Married","<20000"
"3879","8th Grade","Divorced","<20000"
"3880","Some College","Divorced","<20000"
"3881","High School","Married","25000-34999"
"3882","College Grad","Married","more 99999"
"3883","College Grad","Married","more 99999"
"3884","College Grad","Married","more 99999"
"3885","College Grad","Married","more 99999"
"3886","College Grad","Married","more 99999"
"3887","College Grad","Married","more 99999"
"3888","College Grad","Married","75000-99999"
"3889","High School","Married","35000-44999"
"3890","Some College","Married","20000-24999"
"3891","Some College","Married","20000-24999"
"3892","Some College","Married","more 99999"
"3893","Some College","Married","more 99999"
"3894","Some College","Married","35000-44999"
"3895","Some College","Married","55000-64999"
"3896","High School","Divorced","<20000"
"3897","High School","Divorced","<20000"
"3898","High School","Divorced","<20000"
"3899","High School","Divorced","<20000"
"3900","Some College","Divorced","<20000"
"3901","Some College","Divorced","<20000"
"3902","Some College","LivePartner","65000-74999"
"3903","Some College","LivePartner","65000-74999"
"3904","Some College","LivePartner","65000-74999"
"3905","Some College","LivePartner","65000-74999"
"3906","Some College","LivePartner","65000-74999"
"3907","9 - 11th Grade","LivePartner","35000-44999"
"3908","9 - 11th Grade","LivePartner","<20000"
"3909","College Grad","Divorced","<20000"
"3910","College Grad","NeverMarried","75000-99999"
"3911","Some College","Married","65000-74999"
"3912","Some College","Married","65000-74999"
"3913","Some College","Married","65000-74999"
"3914","8th Grade","Married","45000-54999"
"3915","Some College","Married","45000-54999"
"3916","Some College","Married","45000-54999"
"3917","Some College","Widowed","65000-74999"
"3918","High School","NeverMarried","25000-34999"
"3919","High School","NeverMarried","25000-34999"
"3920","High School","NeverMarried","25000-34999"
"3921","Some College","Married","75000-99999"
"3922","Some College","Married","75000-99999"
"3923","Some College","Married","75000-99999"
"3924","Some College","Divorced","65000-74999"
"3925","Some College","Married","more 99999"
"3926","Some College","Married","more 99999"
"3927","Some College","Married","more 99999"
"3928","High School","Married","55000-64999"
"3929","College Grad","Married","more 99999"
"3930","College Grad","Married","more 99999"
"3931","College Grad","Married","more 99999"
"3932","College Grad","Divorced","65000-74999"
"3933","College Grad","Divorced","65000-74999"
"3934","College Grad","Married","35000-44999"
"3935","High School","Married","35000-44999"
"3936","High School","Widowed","35000-44999"
"3937","8th Grade","Divorced","<20000"
"3938","Some College","Married","65000-74999"
"3939","Some College","Married","65000-74999"
"3940","Some College","Separated","65000-74999"
"3941","Some College","Separated","65000-74999"
"3942","9 - 11th Grade","Married","35000-44999"
"3943","Some College","Married","<20000"
"3944","Some College","Married","<20000"
"3945","High School","Separated","<20000"
"3946","8th Grade","Married","<20000"
"3947","College Grad","NeverMarried","65000-74999"
"3948","Some College","LivePartner","45000-54999"
"3949","College Grad","NeverMarried","65000-74999"
"3950","Some College","Married","35000-44999"
"3951","College Grad","Married","more 99999"
"3952","Some College","LivePartner","35000-44999"
"3953","College Grad","Married","more 99999"
"3954","College Grad","Married","more 99999"
"3955","College Grad","Married","more 99999"
"3956","College Grad","Married","more 99999"
"3957","High School","NeverMarried","25000-34999"
"3958","Some College","Widowed","35000-44999"
"3959","9 - 11th Grade","Married","20000-24999"
"3960","High School","NeverMarried","<20000"
"3961","High School","Widowed","20000-24999"
"3962","Some College","LivePartner","75000-99999"
"3963","Some College","LivePartner","75000-99999"
"3964","Some College","Married","55000-64999"
"3965","Some College","Married","55000-64999"
"3966","Some College","Divorced","<20000"
"3967","High School","NeverMarried","35000-44999"
"3968","High School","NeverMarried","35000-44999"
"3969","Some College","LivePartner","25000-34999"
"3970","Some College","NeverMarried","20000-24999"
"3971","9 - 11th Grade","Married","<20000"
"3972","9 - 11th Grade","Married","<20000"
"3973","9 - 11th Grade","Married","<20000"
"3974","9 - 11th Grade","LivePartner","<20000"
"3975","Some College","Divorced","45000-54999"
"3976","Some College","Divorced","45000-54999"
"3977","High School","NeverMarried","<20000"
"3978","High School","NeverMarried","<20000"
"3979","College Grad","Married","75000-99999"
"3980","Some College","Married","more 99999"
"3981","Some College","Married","more 99999"
"3982","Some College","Married","more 99999"
"3983","College Grad","LivePartner","25000-34999"
"3984","Some College","NeverMarried","55000-64999"
"3985","High School","Married","65000-74999"
"3986","High School","Married","65000-74999"
"3987","High School","Married","65000-74999"
"3988","College Grad","Married","55000-64999"
"3989","College Grad","Married","75000-99999"
"3990","College Grad","Married","<20000"
"3991","College Grad","Married","<20000"
"3992","College Grad","Divorced","35000-44999"
"3993","9 - 11th Grade","NeverMarried","<20000"
"3994","Some College","Divorced","25000-34999"
"3995","College Grad","Married","45000-54999"
"3996","Some College","Married","65000-74999"
"3997","College Grad","LivePartner","75000-99999"
"3998","8th Grade","Widowed","<20000"
"3999","8th Grade","Widowed","<20000"
"4000","Some College","LivePartner","25000-34999"
"4001","Some College","LivePartner","25000-34999"
"4002","Some College","NeverMarried","65000-74999"
"4003","Some College","Married","35000-44999"
"4004","Some College","Married","65000-74999"
"4005","High School","Married","25000-34999"
"4006","Some College","Married","20000-24999"
"4007","Some College","Married","55000-64999"
"4008","8th Grade","Married","20000-24999"
"4009","High School","LivePartner","75000-99999"
"4010","High School","LivePartner","75000-99999"
"4011","High School","Married","25000-34999"
"4012","Some College","Married","more 99999"
"4013","College Grad","Widowed","more 99999"
"4014","9 - 11th Grade","Married","75000-99999"
"4015","9 - 11th Grade","Married","75000-99999"
"4016","College Grad","NeverMarried","more 99999"
"4017","College Grad","NeverMarried","more 99999"
"4018","College Grad","Married","65000-74999"
"4019","College Grad","Married","65000-74999"
"4020","College Grad","Married","65000-74999"
"4021","College Grad","Married","65000-74999"
"4022","College Grad","Married","65000-74999"
"4023","High School","NeverMarried","more 99999"
"4024","High School","NeverMarried","more 99999"
"4025","High School","NeverMarried","more 99999"
"4026","High School","NeverMarried","more 99999"
"4027","High School","NeverMarried","more 99999"
"4028","High School","Married","<20000"
"4029","College Grad","NeverMarried","<20000"
"4030","9 - 11th Grade","Married","55000-64999"
"4031","9 - 11th Grade","Married","55000-64999"
"4032","8th Grade","Married","20000-24999"
"4033","8th Grade","Married","20000-24999"
"4034","College Grad","NeverMarried","more 99999"
"4035","College Grad","Divorced","25000-34999"
"4036","College Grad","Divorced","25000-34999"
"4037","College Grad","LivePartner","more 99999"
"4038","Some College","Married","20000-24999"
"4039","Some College","LivePartner","<20000"
"4040","9 - 11th Grade","Divorced","<20000"
"4041","9 - 11th Grade","Divorced","<20000"
"4042","9 - 11th Grade","LivePartner","35000-44999"
"4043","College Grad","Married","75000-99999"
"4044","College Grad","Married","75000-99999"
"4045","High School","Divorced","<20000"
"4046","High School","Separated","<20000"
"4047","Some College","Widowed","65000-74999"
"4048","Some College","Married","more 99999"
"4049","College Grad","Married","more 99999"
"4050","College Grad","Married","more 99999"
"4051","Some College","Married","35000-44999"
"4052","College Grad","Married","more 99999"
"4053","College Grad","Married","more 99999"
"4054","Some College","NeverMarried","more 99999"
"4055","9 - 11th Grade","NeverMarried","25000-34999"
"4056","9 - 11th Grade","NeverMarried","25000-34999"
"4057","9 - 11th Grade","NeverMarried","25000-34999"
"4058","9 - 11th Grade","NeverMarried","25000-34999"
"4059","Some College","Married","more 99999"
"4060","9 - 11th Grade","LivePartner","35000-44999"
"4061","9 - 11th Grade","LivePartner","35000-44999"
"4062","Some College","NeverMarried","<20000"
"4063","8th Grade","Married","more 99999"
"4064","High School","NeverMarried","<20000"
"4065","High School","NeverMarried","35000-44999"
"4066","High School","NeverMarried","35000-44999"
"4067","High School","Married","25000-34999"
"4068","High School","NeverMarried","75000-99999"
"4069","College Grad","Married","more 99999"
"4070","8th Grade","Divorced","<20000"
"4071","College Grad","Married","more 99999"
"4072","High School","Divorced","<20000"
"4073","Some College","NeverMarried","35000-44999"
"4074","Some College","NeverMarried","35000-44999"
"4075","College Grad","Married","more 99999"
"4076","College Grad","NeverMarried","more 99999"
"4077","College Grad","Divorced","<20000"
"4078","College Grad","Married","25000-34999"
"4079","College Grad","Married","25000-34999"
"4080","College Grad","Married","25000-34999"
"4081","9 - 11th Grade","Widowed","<20000"
"4082","9 - 11th Grade","Widowed","<20000"
"4083","College Grad","Married","45000-54999"
"4084","College Grad","Married","45000-54999"
"4085","College Grad","Married","45000-54999"
"4086","Some College","NeverMarried","more 99999"
"4087","College Grad","Married","more 99999"
"4088","College Grad","Married","more 99999"
"4089","College Grad","Married","more 99999"
"4090","College Grad","Married","more 99999"
"4091","Some College","Married","more 99999"
"4092","Some College","Married","more 99999"
"4093","High School","Married","35000-44999"
"4094","High School","NeverMarried","<20000"
"4095","Some College","LivePartner","25000-34999"
"4096","Some College","NeverMarried","<20000"
"4097","Some College","LivePartner","35000-44999"
"4098","9 - 11th Grade","LivePartner","<20000"
"4099","College Grad","NeverMarried","45000-54999"
"4100","College Grad","Married","more 99999"
"4101","Some College","Married","<20000"
"4102","8th Grade","LivePartner","<20000"
"4103","Some College","LivePartner","45000-54999"
"4104","Some College","LivePartner","45000-54999"
"4105","Some College","LivePartner","45000-54999"
"4106","Some College","LivePartner","45000-54999"
"4107","8th Grade","NeverMarried","20000-24999"
"4108","8th Grade","NeverMarried","20000-24999"
"4109","Some College","Married","55000-64999"
"4110","College Grad","LivePartner","more 99999"
"4111","College Grad","LivePartner","more 99999"
"4112","Some College","Married","55000-64999"
"4113","8th Grade","Widowed","55000-64999"
"4114","8th Grade","Widowed","55000-64999"
"4115","Some College","Married","55000-64999"
"4116","9 - 11th Grade","LivePartner","<20000"
"4117","9 - 11th Grade","LivePartner","<20000"
"4118","College Grad","Divorced","35000-44999"
"4119","Some College","Married","20000-24999"
"4120","College Grad","LivePartner","45000-54999"
"4121","College Grad","LivePartner","45000-54999"
"4122","College Grad","LivePartner","45000-54999"
"4123","College Grad","LivePartner","45000-54999"
"4124","9 - 11th Grade","Married","65000-74999"
"4125","9 - 11th Grade","Married","65000-74999"
"4126","9 - 11th Grade","Married","65000-74999"
"4127","9 - 11th Grade","Married","65000-74999"
"4128","9 - 11th Grade","Married","65000-74999"
"4129","9 - 11th Grade","Married","65000-74999"
"4130","9 - 11th Grade","Married","more 99999"
"4131","9 - 11th Grade","Married","more 99999"
"4132","College Grad","Married","75000-99999"
"4133","Some College","Separated","35000-44999"
"4134","College Grad","Married","35000-44999"
"4135","High School","Married","35000-44999"
"4136","High School","Married","35000-44999"
"4137","High School","Married","35000-44999"
"4138","Some College","Widowed","<20000"
"4139","High School","Married","more 99999"
"4140","High School","Married","more 99999"
"4141","High School","Married","more 99999"
"4142","High School","Married","more 99999"
"4143","Some College","Married","45000-54999"
"4144","Some College","Married","45000-54999"
"4145","Some College","Married","45000-54999"
"4146","9 - 11th Grade","Married","<20000"
"4147","High School","LivePartner","35000-44999"
"4148","High School","LivePartner","35000-44999"
"4149","College Grad","Married","more 99999"
"4150","College Grad","Married","more 99999"
"4151","Some College","NeverMarried","more 99999"
"4152","Some College","Married","more 99999"
"4153","Some College","Married","more 99999"
"4154","Some College","Married","more 99999"
"4155","Some College","LivePartner","45000-54999"
"4156","Some College","Widowed","75000-99999"
"4157","Some College","Widowed","75000-99999"
"4158","Some College","Married","more 99999"
"4159","9 - 11th Grade","NeverMarried","more 99999"
"4160","High School","Married","more 99999"
"4161","High School","Married","more 99999"
"4162","High School","Married","more 99999"
"4163","College Grad","Married","75000-99999"
"4164","College Grad","Married","75000-99999"
"4165","Some College","NeverMarried","75000-99999"
"4166","High School","NeverMarried","65000-74999"
"4167","8th Grade","Married","<20000"
"4168","College Grad","Separated","25000-34999"
"4169","College Grad","Separated","25000-34999"
"4170","High School","Married","35000-44999"
"4171","High School","Married","35000-44999"
"4172","High School","Married","35000-44999"
"4173","High School","Married","35000-44999"
"4174","High School","NeverMarried","45000-54999"
"4175","High School","NeverMarried","45000-54999"
"4176","Some College","Married","35000-44999"
"4177","High School","Divorced","25000-34999"
"4178","College Grad","Married","more 99999"
"4179","College Grad","Married","more 99999"
"4180","College Grad","Married","more 99999"
"4181","College Grad","Married","more 99999"
"4182","College Grad","Married","more 99999"
"4183","College Grad","Married","more 99999"
"4184","Some College","LivePartner","65000-74999"
"4185","High School","Married","75000-99999"
"4186","High School","Married","75000-99999"
"4187","High School","Married","75000-99999"
"4188","High School","Married","75000-99999"
"4189","High School","Married","75000-99999"
"4190","8th Grade","Married","45000-54999"
"4191","Some College","NeverMarried","<20000"
"4192","College Grad","LivePartner","45000-54999"
"4193","College Grad","LivePartner","more 99999"
"4194","College Grad","LivePartner","more 99999"
"4195","9 - 11th Grade","Married","45000-54999"
"4196","9 - 11th Grade","Married","45000-54999"
"4197","High School","NeverMarried","35000-44999"
"4198","College Grad","Married","45000-54999"
"4199","College Grad","Married","45000-54999"
"4200","Some College","NeverMarried","more 99999"
"4201","College Grad","NeverMarried","more 99999"
"4202","8th Grade","Married","20000-24999"
"4203","8th Grade","Married","20000-24999"
"4204","8th Grade","Married","20000-24999"
"4205","Some College","NeverMarried","35000-44999"
"4206","Some College","NeverMarried","35000-44999"
"4207","9 - 11th Grade","Married","35000-44999"
"4208","9 - 11th Grade","Married","35000-44999"
"4209","9 - 11th Grade","Married","35000-44999"
"4210","8th Grade","Married","<20000"
"4211","College Grad","Married","more 99999"
"4212","College Grad","Married","more 99999"
"4213","College Grad","Married","more 99999"
"4214","Some College","Married","75000-99999"
"4215","Some College","Married","25000-34999"
"4216","Some College","Married","25000-34999"
"4217","Some College","Married","45000-54999"
"4218","Some College","Married","45000-54999"
"4219","High School","NeverMarried","<20000"
"4220","College Grad","Divorced","<20000"
"4221","College Grad","Divorced","<20000"
"4222","Some College","Married","more 99999"
"4223","Some College","Married","more 99999"
"4224","8th Grade","Married","20000-24999"
"4225","College Grad","Married","75000-99999"
"4226","College Grad","Divorced","<20000"
"4227","College Grad","Divorced","<20000"
"4228","College Grad","Divorced","<20000"
"4229","9 - 11th Grade","Divorced","<20000"
"4230","High School","Married","45000-54999"
"4231","High School","Married","45000-54999"
"4232","9 - 11th Grade","Married","35000-44999"
"4233","9 - 11th Grade","Married","35000-44999"
"4234","College Grad","Divorced","45000-54999"
"4235","8th Grade","Widowed","20000-24999"
"4236","High School","Widowed","55000-64999"
"4237","High School","Widowed","55000-64999"
"4238","College Grad","Married","75000-99999"
"4239","College Grad","Married","75000-99999"
"4240","College Grad","Married","75000-99999"
"4241","College Grad","Married","75000-99999"
"4242","College Grad","Married","75000-99999"
"4243","Some College","Married","more 99999"
"4244","College Grad","Married","more 99999"
"4245","High School","Married","more 99999"
"4246","College Grad","Married","75000-99999"
"4247","College Grad","Married","75000-99999"
"4248","College Grad","Married","75000-99999"
"4249","College Grad","Married","75000-99999"
"4250","College Grad","Married","75000-99999"
"4251","8th Grade","Married","<20000"
"4252","Some College","NeverMarried","more 99999"
"4253","Some College","NeverMarried","more 99999"
"4254","Some College","NeverMarried","more 99999"
"4255","Some College","NeverMarried","more 99999"
"4256","College Grad","Married","more 99999"
"4257","9 - 11th Grade","Married","25000-34999"
"4258","9 - 11th Grade","Married","25000-34999"
"4259","College Grad","NeverMarried","35000-44999"
"4260","Some College","NeverMarried","more 99999"
"4261","Some College","Married","<20000"
"4262","Some College","Married","<20000"
"4263","High School","Married","more 99999"
"4264","High School","Married","more 99999"
"4265","High School","Married","more 99999"
"4266","Some College","Married","more 99999"
"4267","Some College","Married","more 99999"
"4268","Some College","Married","20000-24999"
"4269","Some College","Married","20000-24999"
"4270","9 - 11th Grade","Widowed","25000-34999"
"4271","College Grad","Married","65000-74999"
"4272","College Grad","NeverMarried","55000-64999"
"4273","College Grad","NeverMarried","55000-64999"
"4274","College Grad","NeverMarried","55000-64999"
"4275","College Grad","NeverMarried","55000-64999"
"4276","9 - 11th Grade","NeverMarried","20000-24999"
"4277","High School","Married","75000-99999"
"4278","High School","Married","35000-44999"
"4279","Some College","Widowed","65000-74999"
"4280","Some College","Widowed","65000-74999"
"4281","8th Grade","Widowed","<20000"
"4282","College Grad","Widowed","more 99999"
"4283","College Grad","Married","65000-74999"
"4284","College Grad","Married","65000-74999"
"4285","Some College","Married","55000-64999"
"4286","Some College","Married","55000-64999"
"4287","High School","Widowed","75000-99999"
"4288","College Grad","NeverMarried","75000-99999"
"4289","College Grad","NeverMarried","75000-99999"
"4290","College Grad","NeverMarried","75000-99999"
"4291","College Grad","Married","more 99999"
"4292","College Grad","Married","more 99999"
"4293","College Grad","Married","more 99999"
"4294","College Grad","Married","more 99999"
"4295","8th Grade","Widowed","<20000"
"4296","Some College","NeverMarried","more 99999"
"4297","Some College","NeverMarried","more 99999"
"4298","Some College","NeverMarried","more 99999"
"4299","Some College","NeverMarried","more 99999"
"4300","Some College","NeverMarried","25000-34999"
"4301","College Grad","Married","75000-99999"
"4302","Some College","NeverMarried","<20000"
"4303","Some College","NeverMarried","45000-54999"
"4304","Some College","NeverMarried","45000-54999"
"4305","Some College","NeverMarried","45000-54999"
"4306","Some College","NeverMarried","45000-54999"
"4307","Some College","NeverMarried","45000-54999"
"4308","9 - 11th Grade","Divorced","20000-24999"
"4309","College Grad","Married","more 99999"
"4310","College Grad","Married","<20000"
"4311","College Grad","Married","<20000"
"4312","Some College","Married","45000-54999"
"4313","High School","Married","65000-74999"
"4314","Some College","Married","35000-44999"
"4315","High School","Married","35000-44999"
"4316","High School","Married","35000-44999"
"4317","Some College","NeverMarried","<20000"
"4318","Some College","Divorced","25000-34999"
"4319","Some College","Divorced","25000-34999"
"4320","High School","NeverMarried","55000-64999"
"4321","High School","NeverMarried","55000-64999"
"4322","High School","NeverMarried","55000-64999"
"4323","9 - 11th Grade","LivePartner","<20000"
"4324","Some College","Married","35000-44999"
"4325","Some College","Married","35000-44999"
"4326","Some College","Married","75000-99999"
"4327","Some College","Married","75000-99999"
"4328","Some College","Married","75000-99999"
"4329","9 - 11th Grade","NeverMarried","20000-24999"
"4330","9 - 11th Grade","NeverMarried","20000-24999"
"4331","Some College","NeverMarried","65000-74999"
"4332","Some College","NeverMarried","65000-74999"
"4333","Some College","NeverMarried","65000-74999"
"4334","Some College","NeverMarried","65000-74999"
"4335","High School","Divorced","25000-34999"
"4336","College Grad","NeverMarried","more 99999"
"4337","Some College","Married","more 99999"
"4338","Some College","Married","more 99999"
"4339","High School","LivePartner","35000-44999"
"4340","High School","Divorced","75000-99999"
"4341","High School","Divorced","75000-99999"
"4342","Some College","Married","65000-74999"
"4343","Some College","Married","65000-74999"
"4344","Some College","NeverMarried","<20000"
"4345","8th Grade","Widowed","<20000"
"4346","Some College","NeverMarried","<20000"
"4347","College Grad","NeverMarried","75000-99999"
"4348","College Grad","NeverMarried","75000-99999"
"4349","9 - 11th Grade","Divorced","35000-44999"
"4350","College Grad","LivePartner","<20000"
"4351","College Grad","LivePartner","<20000"
"4352","Some College","Widowed","<20000"
"4353","Some College","Married","75000-99999"
"4354","Some College","Married","75000-99999"
"4355","College Grad","NeverMarried","35000-44999"
"4356","9 - 11th Grade","LivePartner","<20000"
"4357","9 - 11th Grade","LivePartner","<20000"
"4358","Some College","Married","20000-24999"
"4359","Some College","Married","65000-74999"
"4360","Some College","Married","65000-74999"
"4361","Some College","Married","more 99999"
"4362","College Grad","Married","55000-64999"
"4363","College Grad","Married","55000-64999"
"4364","High School","Married","<20000"
"4365","College Grad","Married","75000-99999"
"4366","Some College","LivePartner","more 99999"
"4367","High School","Married","25000-34999"
"4368","9 - 11th Grade","Divorced","25000-34999"
"4369","9 - 11th Grade","Divorced","25000-34999"
"4370","College Grad","Married","more 99999"
"4371","Some College","Widowed","20000-24999"
